ci 离
myfn 人生如朝露
wglg 狂涛骇浪
wgcg 狂濤駭浪
dydy 多言多語
dydh 多言多语
lwcn 胆大心粗
lwcn 膽大心粗
nhky 断鹤续凫
qhtx 斷鶴續鳧
dhfr 挂冠求去
dhfr 掛冠求去
nprg 履薄临深
npqg 履薄臨深
cjkn 心醉魂迷
ymvn 記問之學
hjvf 记问之学
dxhy 永矢弗諼
dxhh 永矢弗谖
lsjs 神号鬼哭
lsjs 神號鬼哭
yndb 裏勾外連
tndb 裡勾外連
xndk 里勾外连
mfkt 方正不阿
jkws 明目达聪
jkrs 明目達聰
xpqx 德薄能鮮
xpqh 德薄能鲜
jtgx 高阳酒徒
jtgx 高陽酒徒
ncjh 丹心碧血
vrkj 來處不易
flkj 来处不易
ffxx 万万千千
ppxx 萬萬千千
mftx 八万四千
mptx 八萬四千
mmff 三三五五
xkfm 十二万分
xkpm 十二萬分
fcbc 一点半点
fqbq 一點半點
mxyx 三十六行
ncyy 精心設計
nchh 精心设计
jgjt 暴涨暴跌
jgjt 暴漲暴跌
djfg 捏了一把汗
nhsl 舆论哗然
nyyl 輿論譁然
kxwn 不知何故
jjmy 玫瑰人生
nykk 焕发青春
ngkk 煥發青春
dflp 砍瓜切菜
kggx 春江水暖鴨先知
kggx 春江水暖鸭先知
wtvl 狭路相逢勇者胜
wtvl 狹路相逢勇者勝
lbtx 飛入尋常百姓家
hbtx 飞入寻常百姓家
vtcn 長足進展
jtkn 长足进展
mmvw 人人有份
yfvw 老无所依
ynvw 老無所依
hpgk 乱花渐欲迷人眼
fpgk 亂花漸欲迷人眼
xkvj 功夫之王
rxkr 坚定意志
qxkr 堅定意志
wjyf 風景這邊獨好
wjcf 风景这边独好
tncg 經營慘淡
kpcg 经营惨淡
nffv 忽如一夜春風來
nfff 忽如一夜春风来
nnyw 年年岁岁花相似
nndw 年年歲歲花相似
vgls 長江七號
jgls 长江七号
gywy 江山代有才人出
wjvj 風物長宜放眼量
wjjj 风物长宜放眼量
fphh 小荷才露尖尖角
dypg 拔出萝卜带出泥
dypg 拔出蘿蔔帶出泥
nvpx 年近花甲
jlwv 明月几时有
jlqv 明月幾時有
gmmk 民办公助
gkmk 民辦公助
flbq 一条道走到黑
fwbq 一條道走到黑
lcch 忘战必危
lsch 忘戰必危
cphf 百花争妍
cpff 百花爭妍
fhnr 开疆辟土
mhmr 開疆闢土
pnlr 圣殿骑士
sncr 聖殿騎士
yfyy 老吾老以及人之老
lymm 白发人送黑发人
lvmm 白髮人送黑髮人
kddk 春捂秋冻
kddk 春捂秋凍
ffkx 一举成功
fnkx 一舉成功
kqlc 不能忘怀
kqlc 不能忘懷
lbfj 自食恶果
lbfj 自食惡果
xhdx 宜将剩勇追穷寇
xkdx 宜將剩勇追窮寇
gggv 沉渣泛起
tysr 初試啼聲
thsr 初试啼声
lgxn 飛流直下三千尺
hgxn 飞流直下三千尺
xvff 千树万树梨花开
xvpm 千樹萬樹梨花開
llrb 福祿壽喜
llgb 福禄寿喜
djwf 为非作恶
djwf 為非作惡
fjwf 爲非作惡
fhwj 无可估量
nhwj 無可估量
mvmm 門戶開放
mbmm 門户開放
jbfm 门户开放
cxfn 恰同学少年
cxnn 恰同學少年
gjjk 清明时节雨纷纷
gjjt 清明時節雨紛紛
wvvd 大有所为
wvvd 大有所為
wvvf 大有所爲
fhfx 无以至千里
nhfx 無以至千里
bvgh 养在深闺人未识
bvgy 養在深閨人未識
mvff 三男两女
mvff 三男兩女
ksxr 不患寡而患不均
nnfq 雷霆一击
nnfb 雷霆一擊
dvgf 为有源头活水来
dvgv 為有源頭活水來
fvgv 爲有源頭活水來
jjvc 星星之火可以燎原
jnkv 暴露目标
jnkv 暴露目標
lmjn 东边日出西边雨
vljn 東邊日出西邊雨
pbvj 荆軻刺秦王
pkvj 荆轲刺秦王
pbvj 荊軻刺秦王
nmpx 年逾花甲
xvxd 千斤重担
xvxd 千斤重擔
bgfh 兼济天下
bgfh 兼濟天下
ymvc 覬覦之心
ymvc 觊觎之心
mdyc 力拔山兮气盖世
mdyc 力拔山兮氣蓋世
gkvh 溢美之辞
gkvf 溢美之辭
dpvh 採菊東籬下
fplh 采菊东篱下
bkbc 輕裝前進
khbk 轻装前进
mypp 人生若只如初見
mypf 人生若只如初见
myfh 人財兩失
mgfh 人财两失
lvwy 上兵伐謀
lvwh 上兵伐谋
khfk 冲冠一怒为红颜
xhfc 衝冠一怒為紅顏
xhfk 衝冠一怒爲紅顔
klxd 决胜千里之外
glxd 決勝千里之外
bkkl 前不着村后不着店
bkkl 前不着村後不着店
bkpl 前不著村後不著店
vvvj 雄赳赳气昂昂
vvvj 雄赳赳氣昂昂
fhth 天将降大任于斯人也
fkth 天將降大任於斯人也
txrr 防微慮遠
txrf 防微虑远
bsgy 輕舟已過萬重山
ksgy 轻舟已过万重山
jggh 酗酒滋事
dffr 气吞万里如虎
dfpr 氣吞萬里如虎
jgfk 玉汝于成
jgmk 玉汝於成
vcrr 身历其境
vcrr 身歷其境
fklk 刑不上大夫
kdfh 不拘一格降人才
wnym 風雪夜歸人
wnym 风雪夜归人
knqs 运筹帷幄之中
hnqs 運籌帷幄之中
lmwn 各領風騷數百年
lmwn 各领风骚数百年
qfqq 幼吾幼以及人之幼
shkw 只可意会不可言传
shkw 只可意會不可言傳
kfkg 立于不败
kmky 立於不敗
mskj 坐看云起时
msnj 坐看雲起時
nvhy 箭在弦上不得不发
nvhg 箭在弦上不得不發
yyvs 覆巢之下无完卵
yyvs 覆巢之下無完卵
glyl 海上生明月
xgwv 穷则独善其身
xywv 窮則獨善其身
fhkx 救急不救穷
fhkx 救急不救窮
dwkn 杀伐决断
dwgq 殺伐決斷
wspk 風吹草低見牛羊
wspk 风吹草低见牛羊
ksqv 眼中釘肉中刺
ksmv 眼中钉肉中刺
fwkm 一代新人换旧人
fwkm 一代新人換舊人
wxvk 倾囊相助
wxvk 傾囊相助
wwjx 狼狈逃窜
wwjx 狼狽逃竄
kvgk 不畏浮云遮望眼
kvgk 不畏浮雲遮望眼
kykc 亲者痛仇者快
kykc 親者痛仇者快
lvyp 腹有詩書氣自華
lvhw 腹有诗书气自华
ffct 少小离家老大回
ffct 少小離家老大回
fhlx 吾将上下而求索
fklx 吾將上下而求索
fyfy 天生丽质难自弃
fyfy 天生麗質難自棄
pdbg 莫愁前路无知己
pdbg 莫愁前路無知己
wgbh 达则兼济天下
rybh 達則兼濟天下
dyfk 逝者如斯夫
yskt 讚口不絕
yskt 讚口不絶
jskk 赞口不绝
kfmt 不如退而結網
kfmx 不如退而结网
mxxl 八千里路云和月
mxxl 八千里路雲和月
fkll 举头望明月
nfll 舉頭望明月
xsrl 富貴吉祥
xsrl 富贵吉祥
tynn 紙裏包不住火
ttnn 紙裡包不住火
kxnn 纸里包不住火
tlxg 紙上得來終覺淺
klxg 纸上得来终觉浅
ypgc 衣带渐宽终不悔
ypgc 衣帶漸寬終不悔
jygn 日出江花紅勝火
jygn 日出江花红胜火
fsnd 一手包揽
fsnd 一手包攬
dgph 秋水共長天一色
dgph 秋水共长天一色
lmlw 福兮祸之所伏
lmlw 福兮禍之所伏
rjjp 旧时王谢堂前燕
pjjp 舊時王謝堂前燕
lmlw 祸兮福之所倚
lmlw 禍兮福之所倚
kylw 青山遮不住
xqkd 千金不换
xqkd 千金不換
xggc 魚水深情
hggc 鱼水深情
xfgl 行到水穷处
xfgr 行到水窮處
yjpg 老子英雄儿好汉
yjpg 老子英雄兒好漢
kvgp 春來江水綠如藍
kfgp 春来江水绿如蓝
lbjf 床前明月光
kbjf 牀前明月光
cdcv 馳名世界
ldcv 驰名世界
nkxf 断绝往来
qtxv 斷絕往來
qtxv 斷絶往來
ffkx 一举成名天下知
fnkx 一舉成名天下知
pvpb 甘之若飴
pvpk 甘之若饴
kyfp 青出于蓝胜于蓝
kymp 青出於藍勝於藍
gqxs 水能載舟亦能覆舟
gqxs 水能载舟亦能覆舟
fssj 一口吃个胖子
fssj 一口吃個胖子
fvll 举杯邀明月
nvll 舉杯邀明月
ktdb 不足为道
ktdb 不足為道
ktfb 不足爲道
spvv 只見樹木不見森林
sfvv 只见树木不见森林
pnch 落霞与孤鹜齐飞
pnnl 落霞與孤鶩齊飛
fctn 一騎紅塵妃子笑
flkn 一骑红尘妃子笑
kxhp 不知下落
smgh 聚众滋事
sqgh 聚眾滋事
shgh 聚衆滋事
cnkx 焦灼不安
xyky 直認不諱
xhkh 直认不讳
mgpg 余波荡漾
bggg 餘波盪漾
gggf 濯清涟而不妖
gggf 濯清漣而不妖
dxfs 捨得一身剮
mxfs 舍得一身剐
dchc 此情可待成追忆
dchc 此情可待成追憶
mmvh 欲加之罪何患无辞
mmvf 欲加之罪何患無辭
kdvf 盛名之下其实难副
kdvf 盛名之下其實難副
kwkm 亲仁善邻
kwkn 親仁善鄰
jgky 碧水青山
ynmk 弃笔从戎
ynxk 棄筆從戎
clkt 卓然不群
qsfh 蜀中无大将
qsnk 蜀中無大將
nskp 霜叶红于二月花
nptp 霜葉紅於二月花
txdx 絕知此事要躬行
txdx 絶知此事要躬行
kxdx 绝知此事要躬行
yxnh 六宫粉黛无颜色
yxnh 六宮粉黛無顏色
yxnh 六宮粉黛無顔色
bjqf 疑是銀河落九天
bjmf 疑是银河落九天
ggdr 汗滴禾下土
mrvt 人面桃花相映紅
mrvk 人面桃花相映红
kkck 凄凄惨惨戚戚
ccck 悽悽慘慘慼戚
fvjx 远近高低各不同
rvjx 遠近高低各不同
phpj 莺飞草长
nlpv 鶯飛草長
mlxp 仓廪实而知礼节
mlxn 倉廩實而知禮節
mmbj 众人皆醉我独醒
qmbj 眾人皆醉我獨醒
hmbj 衆人皆醉我獨醒
mxxr 三十功名塵與土
mxxr 三十功名尘与土
xkqq 十二金釵
xkqm 十二金钗
kgkl 云深不知处
ngkr 雲深不知處
rxmj 報得三春暉
dxmj 报得三春晖
gnww 浴火凤凰
gnww 浴火鳳凰
yyhc 誰言寸草心
hyhc 谁言寸草心
wjfs 大珠小珠落玉盘
wjfs 大珠小珠落玉盤
wwxw 假作真时真亦假
wwxw 假作真時真亦假
wmfj 大放光明
xdjm 宁为玉碎不为瓦全
xdjm 寧為玉碎不為瓦全
xfjm 寧爲玉碎不爲瓦全
xssj 囊中取物
tncn 純屬騙局
knln 纯属骗局
jkjs 玉不琢不成器
fhks 当刮目相看
fhks 當刮目相看
gtkj 洛阳亲友如相问
gtkm 洛陽親友如相問
wmvt 仇人相見分外眼紅
wmvk 仇人相见分外眼红
fmvk 小人長慼慼
fmjk 小人长戚戚
dmjr 打个照面
dwjr 打個照面
nmbx 毀於蟻穴
nfbx 毁于蚁穴
nmbx 毁於蟻穴
xxpl 徘徊觀望
xxpl 徘徊观望
hxwk 军容风纪
hxwt 軍容風紀
bfst 慈母手中線
bfsk 慈母手中线
xrxd 同声同气
xrxd 同聲同氣
mbpk 人比黃花瘦
mbpk 人比黄花瘦
frdr 一块石头落了地
frdr 一塊石頭落了地
khvm 成事在人
fxlf 一行白鷺上青天
fxlf 一行白鹭上青天
vyvr 有財有勢
vgvd 有财有势
ckkx 惊魂不定
pkkx 驚魂不定
jjpt 映日荷花別樣紅
jjpk 映日荷花别样红
jjpt 映日荷花别樣紅
ppkv 葡萄美酒夜光杯
pyvp 又岂在朝朝暮暮
pyvp 又豈在朝朝暮暮
jjdy 琴瑟和諧
jjdh 琴瑟和谐
kvyx 云想衣裳花想容
nvyx 雲想衣裳花想容
fvtv 一枝紅杏出牆來
fvkf 一枝红杏出墙来
gjvy 游子身上衣
mjvy 遊子身上衣
wmkp 大門不出二門不邁
wjkf 大门不出二门不迈
khgj 不可沽名学霸王
khgj 不可沽名學霸王
mvjt 人有悲欢离合
mvjt 人有悲歡離合
fnxp 好雨知时节
fnxn 好雨知時節
fjkd 天时不如地利
fjkd 天時不如地利
bdpm 遍插茱萸少一人
bvpf 半斤对八两
bvwf 半斤對八兩
mbkd 門前冷落車馬稀
jbkd 门前冷落车马稀
fyww 两岸猿声啼不住
fyww 兩岸猿聲啼不住
ssnk 留取丹心照汗青
dddl 搬石砸脚
dddl 搬石砸腳
wjcm 風牛馬不相及
wjlm 风牛马不相及
hbxy 争前恐后
fbxx 爭前恐後
vwpt 長使英雄淚滿襟
jwpt 长使英雄泪满襟
rdkd 地利不如人和
gpfj 潮平两岸阔
gpfm 潮平兩岸闊
kcff 不怕一万就怕万一
kcff 不怕一萬就怕萬一
vsfc 相看两不厌
vsfc 相看兩不厭
dfpj 接天莲叶无穷碧
dfpj 接天蓮葉無窮碧
jsjw 予取予夺
jsjw 予取予奪
yhmy 旁逸斜出
lxfj 上知天文下知地理
lfkm 皇天不負苦心人
lfkm 皇天不负苦心人
kklh 不差上下
wgwg 仇深似海
xvmk 得來全不費功夫
xfmk 得来全不费功夫
fghb 一则以喜
fyhb 一則以喜
sfdd 掰开揉碎
smdd 掰開揉碎
dhnm 此事古难全
dhnm 此事古難全
npmf 烟花三月下扬州
npmf 煙花三月下揚州
mdjn 今夕是何年
wbvv 似曾相識燕歸來
wbvf 似曾相识燕归来
vrcv 在地愿为连理枝
vrcv 在地願為連理枝
vrcv 在地願爲連理枝
gdgv 民为邦本
gdgv 民為邦本
gfgv 民爲邦本
knjx 冰雪严寒
knsx 冰雪嚴寒
dgwn 捉刀代笔
dgwn 捉刀代筆
tkgj 終成泡影
kkgj 终成泡影
fdxk 万紫千红总是春
pdxk 萬紫千紅總是春
dxmt 早知今日何必当初
dxmt 早知今日何必當初
frkx 学而不思则罔
nrkx 學而不思則罔
hlnx 雏鹰展翅
nlnx 雛鷹展翅
ljfk 白了少年头
ljff 白了少年頭
gppj 浓荫蔽日
gllj 濃廕庇日
ybtc 衣食足而知榮辱
ybtc 衣食足而知荣辱
ktdh 不足为外人道也
ktdh 不足為外人道也
ktfh 不足爲外人道也
cjwx 与时偕行
njwx 與時偕行
jxfx 碧空万里
jxpx 碧空萬里
jqgn 醉卧沙场君莫笑
jqgn 醉臥沙場君莫笑
fnks 少年不識愁滋味
fnks 少年不识愁滋味
fcpj 两情若是久长时
fcpj 兩情若是久長時
wjdt 位卑未敢忘忧国
wjdt 位卑未敢忘憂國
vxfj 略窥一斑
vxfj 略窺一斑
sbjr 兄弟阋于墙
sbmk 兄弟鬩於牆
fxvr 无容身之地
nxvr 無容身之地
ycbp 殷忧启圣
ycbs 殷憂啓聖
ycbs 殷憂啟聖
wwkp 化作春泥更护花
wwkp 化作春泥更護花
wvqh 大肆鋪張
wvmh 大肆铺张
sjfl 只是当时已惘然
sjfl 只是當時已惘然
drkv 择其善者而从之
drkv 擇其善者而從之
xpnm 項莊舞劍意在沛公
xlnm 项庄舞剑意在沛公
lsfx 白手兴家
lsnx 白手興家
pxfv 莫待无花空折枝
pxnv 莫待無花空折枝
pjkm 对影成三人
wjkm 對影成三人
cvhf 必有我师焉
cvhf 必有我師焉
gldg 清泉石上流
wmxn 独钓寒江雪
wqxn 獨釣寒江雪
hjvy 以子之矛攻子之盾
fkkk 一着不慎满盘皆输
fkkb 一着不慎滿盤皆輸
fpkb 一著不慎滿盤皆輸
ljwn 白日依山尽
ljwt 白日依山盡
hydf 失敗為成功之母
hyff 失敗爲成功之母
hgdf 失败为成功之母
vrvx 肆虐横行
vrvx 肆虐橫行
mrkr 人面不知何处去
mrkr 人面不知何處去
vfcy 在天愿作比翼鸟
vfcx 在天願作比翼鳥
vkcc 近乡情更怯
vkcc 近鄉情更怯
hyvx 书山有路勤为径
tyvx 書山有路勤為徑
tyvx 書山有路勤爲徑
fkmy 当春乃发生
fkmy 當春乃發生
yssj 磨嘴皮子
vrkf 思而不学则殆
vrkf 思而不學則殆
fmys 当众出丑
fqyj 當眾出醜
fhyj 當衆出醜
vlxf 有福同享有难同当
vlxf 有福同享有難同當
yfkc 商女不知亡国恨
yfkc 商女不知亡國恨
nmhm 精力过人
nmsm 精力過人
wsny 信口胡謅
wsnh 信口胡诌
lxjl 上穷碧落下黄泉
lxjl 上窮碧落下黃泉
fmpw 好人难做
fmpw 好人難做
pfrd 花开堪折直须折
pmrd 花開堪折直須折
wxml 曲径通幽处
wxmr 曲徑通幽處
kcbd 连战皆捷
bsbd 連戰皆捷
ljgj 飛珠濺玉
hjgj 飞珠溅玉
rxxk 临行密密缝
qxxt 臨行密密縫
dcnv 郎騎竹馬來
dlnf 郎骑竹马来
dvtf 破格录用
dvqf 破格錄用
jklv 牧童遙指杏花村
jkfv 牧童遥指杏花村
fhfw 求过于供
fsmw 求過於供
jhnm 物以类聚人以群分
jhnm 物以類聚人以群分
hxmp 买卖公平
qrmp 買賣公平
fmbx 如人飲水冷暖自知
fmkx 如人饮水冷暖自知
dcls 多情自古伤离别
dcls 多情自古傷離別
dcls 多情自古傷離别
fjkd 一日不見如隔三秋
fjkd 一日不见如隔三秋
mmkd 念念不捨
mmkm 念念不舍
fmph 无边落木萧萧下
nlph 無邊落木蕭蕭下
gtyc 泽被后世
gtxc 澤被後世
dgdg 扬清抑浊
dgdg 揚清抑濁
mxrx 人穷志不穷
mxrx 人窮志不窮
glqp 水月鏡花
glmp 水月镜花
nwyx 昼伏夜行
twyx 晝伏夜行
xhlj 朝辞白帝彩云间
xflm 朝辭白帝彩雲間
wyfn 付諸一笑
whfn 付诸一笑
jjgg 晕晕沉沉
jjgg 暈暈沉沉
tfyt 紅豆生南國
kfyt 红豆生南国
hnkj 可笑不自量
nnvf 糟糠之妻不下堂
frkx 两面夹攻
frwx 兩面夾攻
xlgg 彻底澄清
xlgg 徹底澄清
mdkd 人多眼杂
mdky 人多眼雜
fkkr 一片冰心在玉壶
fkkr 一片冰心在玉壺
lvfg 追根求源
nnkl 烽火连三月
nnbl 烽火連三月
wwvw 奇風異俗
wwgw 奇风异俗
jrcq 选贤与能
gqnq 選賢與能
mtvf 人固有一死
ynvw 談笑有鴻儒
hnvw 谈笑有鸿儒
vhkd 所費不貲
vhkd 所费不赀
chgj 世事洞明皆学问
chgm 世事洞明皆學問
yjfh 生子当如孙仲谋
yjfy 生子當如孫仲謀
fxmn 州官放火
ptkj 落紅不是無情物
pkkj 落红不是无情物
fxrx 天知地知你知我知
cksk 离乡别井
cksk 離鄉別井
cksk 離鄉别井
jlvj 明月松間照
jlvj 明月松间照
nvxt 古來征戰幾人回
nfxt 古来征战几人回
rbkg 旧瓶新酒
pbkg 舊瓶新酒
tgwp 隔江犹唱后庭花
tgwp 隔江猶唱後庭花
yyky 諄諄善誘
hhkh 谆谆善诱
dfxf 种瓜得瓜种豆得豆
dfxf 種瓜得瓜種豆得豆
mctk 人情練達即文章
mctk 人情練達卽文章
mckk 人情练达即文章
sydv 只要肯登攀
fyfp 一岁一枯荣
fdfn 一歲一枯榮
mxxv 三千宠爱在一身
mxxv 三千寵愛在一身
mdtx 从此君王不早朝
xdtx 從此君王不早朝
kwkm 春風不度玉門關
kwkb 春风不度玉门关
dmrn 择邻而居
dnrn 擇鄰而居
pgbg 黃河入海流
pgbg 黄河入海流
kkgl 头悬梁锥刺股
fkgl 頭懸梁錐刺股
pmgr 昔人已乘黃鶴去
pmgr 昔人已乘黄鹤去
sdfl 只此一家別無分店
sdfl 只此一家别无分店
sdfl 只此一家别無分店
xvyy 知之者不如好之者
cccp 离离原上草
cccp 離離原上草
djjv 此物最相思
rkkv 其不善者而改之
ssty 呢喃細語
sskh 呢喃细语
nmxv 笑問客從何處來
njxf 笑问客从何处来
yxbp 說千道萬
yxbp 説千道萬
hxbf 说千道万
pwql 莫使金樽空对月
pwql 莫使金樽空對月
fmsd 小人喻于利
fmsd 小人喻於利
kjpg 感时花溅泪
kjpg 感時花濺淚
knwv 羌笛何須怨楊柳
knwv 羌笛何须怨杨柳
nmml 露从今夜白
nxml 露從今夜白
kqkt 不能成方圆
kqkt 不能成方圓
wjfw 大題小做
wjfw 大题小做
tvvm 紅杏枝頭春意鬧
kvvj 红杏枝头春意闹
vpjp 相見時難別亦難
vpjp 相見時難别亦難
vfjp 相见时难别亦难
vbwh 相煎太急
fjfx 如烹小鮮
fjfh 如烹小鲜
wclh 独怆然而涕下
wclh 獨愴然而涕下
fvyy 好之者不如乐之者
fvyy 好之者不如樂之者
fyhg 吾生也有涯
ycbc 齊驅並進
clbk 齐驱并进
nrfw 粪土当年万户侯
nrfw 糞土當年萬戶侯
nrfw 糞土當年萬户侯
ylcf 計上心頭
hlck 计上心头
ptfg 劝君更尽一杯酒
ptfg 勸君更盡一杯酒
kxyf 不知老之将至
kxyf 不知老之將至
kbwt 斩关夺隘
bmwt 斬關奪隘
stvn 只緣身在最高層
skvn 只缘身在最高层
phfy 黃鶴一去不復返
phfy 黄鹤一去不复返
fprr 姑苏城外寒山寺
fprr 姑蘇城外寒山寺
cbkk 夏虫不可语冰
cbkk 夏蟲不可語冰
wxlj 凭空臆造
kxlj 憑空臆造
cfks 驢頭不對馬嘴
lkks 驴头不对马嘴
bdvv 疑义相与析
bkvv 疑義相與析
cqlk 悔罪自新
vryv 极而言之
vryv 極而言之
khgw 春色满园关不住
khgw 春色滿園關不住
kwpy 春風又綠江南岸
kwpy 春风又绿江南岸
bjrn 疑是地上霜
kxvg 不知有汉
kxvg 不知有漢
ffwk 光輝奪目
ffwk 光辉夺目
pvjn 蓝田日暖玉生烟
pvjn 藍田日暖玉生煙
cwfg 恰似一江春水向东流
cwfg 恰似一江春水向東流
krfp 春城无处不飞花
krnp 春城無處不飛花
ysgm 要留清白在人間
ysgj 要留清白在人间
ggxx 江汉朝宗
ggxx 江漢朝宗
ndvv 竹外桃花三两枝
ndvv 竹外桃花三兩枝
yfyr 談天論地
hfhr 谈天论地
yxwm 后宫佳丽三千人
xxwm 後宮佳麗三千人
cncf 惟精惟一
djkj 破玩意儿
djkn 破玩意兒
hnxb 以管窥豹
hnxb 以管窺豹
jffh 非学无以广才
jnnh 非學無以廣才
dmlb 热锅上蚂蚁
rqlb 熱鍋上螞蟻
yvnx 言有尽而意无穷
yvtx 言有盡而意無窮
klpf 不自由毋宁死
klpf 不自由毋寧死
knjf 不尽长江滚滚来
ktvv 不盡長江滚滚來
ktvv 不盡長江滾滾來
fvkn 瓜田不納履
fvkn 瓜田不纳履
wgft 奔流到海不复回
wgft 奔流到海不復回
dwsv 此曲只应天上有
dwsv 此曲只應天上有
wfwr 仰天大笑出門去
wfwr 仰天大笑出门去
sbhm 聪颖过人
sbsm 聰穎過人
ybqs 夜半鐘聲到客船
ybms 夜半钟声到客船
jlqk 王祥卧冰
jlqk 王祥臥冰
lvfv 上有天堂下有苏杭
lvfv 上有天堂下有蘇杭
xhqh 知我罪我
kkvr 青云之志
knvr 青雲之志
plyg 花自飄零水自流
plyg 花自飘零水自流
xyfc 千峰万壑
xypc 千峰萬壑
ycsw 孝悌忠信
vhql 有負眾望
vhhl 有負衆望
vhml 有负众望
kvjx 差之毫厘谬以千里
kvjx 差之毫釐謬以千里
xrfl 富而好礼
xrfl 富而好禮
xyxt 千山鳥飛絕
xyxt 千山鳥飛絶
xyyk 千山鸟飞绝
jlyf 星月交輝
jlyf 星月交辉
vxvb 畸重畸輕
vxvk 畸重畸轻
qbfn 能飲一杯無
qkff 能饮一杯无
jvfn 晚來天欲雪
jffn 晚来天欲雪
pswh 干卿何事
fgvv 无源之水无本之木
ngvv 無源之水無本之木
dkwc 未成曲調先有情
dkwc 未成曲调先有情
kxvy 不知所言
nlmg 断肠人在天涯
qlmg 斷腸人在天涯
svds 只在此山中
mfxx 人至察则无徒
mfxx 人至察則無徒
kxpv 春宵苦短日高起
xxgk 寂寞沙洲冷
jjdd 孜孜矻矻
ftxg 兴国安邦
ntxg 興國安邦
yxxv 岁寒知松柏
dxxv 歲寒知松柏
ctdd 愿君多采撷
ctdd 願君多采擷
mmxd 八方支持
hfyh 逸兴遄飞
hnyl 逸興遄飛
kdfy 春种一粒粟
kdfy 春種一粒粟
hcnm 費心勞力
hcpm 费心劳力
fxxq 一字千鈞
fxxm 一字千钧
lkxw 白云千载空悠悠
lnxw 白雲千載空悠悠
jycv 晴川历历汉阳树
jycv 晴川歷歷漢陽樹
fcqg 一文錢難倒英雄漢
fcmg 一文钱难倒英雄汉
jmvy 非分之財
jmvg 非分之财
msvw 众口相传
qsvw 眾口相傳
hsvw 衆口相傳
wktc 独运匠心
whtc 獨運匠心
fhlk 万事胜意
phlk 萬事勝意
tdyv 国破山河在
tdyv 國破山河在
vvkt 桃李不言下自成蹊
jjwd 明日何其多
jbkb 珍饈美饌
jkkk 珍馐美馔
jspm 孤舟蓑笠翁
fyfg 如訴如泣
fhfg 如诉如泣
shfj 嚣张一时
shfj 囂張一時
cbgg 馬前潑水
lbgg 马前泼水
dvbk 早有蜻蜓立上头
dvbf 早有蜻蜓立上頭
jpkj 日暮乡关何处是
jpkj 日暮鄉關何處是
kvxh 立身行事
pppg 芳草萋萋鸚鵡洲
pppg 芳草萋萋鹦鹉洲
kycp 春生夏長秋收冬藏
kycp 春生夏长秋收冬藏
yvwr 夜來風雨聲
yfwr 夜来风雨声
fthw 一蹴可几
fthq 一蹴可幾
klfx 羊肠小径
klfx 羊腸小徑
hjym 我輩豈是蓬蒿人
hjym 我辈岂是蓬蒿人
ppxf 花落知多少
knpb 青灯黄卷
knpb 青燈黃卷
fkpk 无意苦争春
nkpk 無意苦爭春
tbkg 綠蟻新醅酒
kbkg 绿蚁新醅酒
wjkf 牵牛织女
yjtf 牽牛織女
jgkc 碧海青天夜夜心
nggd 烟波江上使人愁
nggd 煙波江上使人愁
mygg 欲語淚先流
mhgg 欲语泪先流
hvfd 将本求利
kvfd 將本求利
lwkj 追風逐日
lwkj 追风逐日
fqfg 求賢如渴
frfg 求贤如渴
xhxf 往事知多少
bfgk 車如流水馬如龍
kfgy 车如流水马如龙
vnjm 所答非所問
vnjj 所答非所问
ngjj 雨淋日晒
ngjj 雨淋日曬
gglg 沧海月明珠有泪
gglg 滄海月明珠有淚
ddfd 挨打受气
ddfd 挨打受氣
gpng 浩若烟海
gpng 浩若煙海
wnff 业精于勤荒于嬉
wnmf 業精於勤荒於嬉
mgvs 門泊東吳萬里船
jgls 门泊东吴万里船
xnfp 十年一覺揚州夢
xnfv 十年一觉扬州梦
lyjb 庄生晓梦迷蝴蝶
pyjb 莊生曉夢迷蝴蝶
flyt 学然后知不足
nlxt 學然後知不足
cpyj 百花生日
dxfj 名重一时
dxfj 名重一時
mfmn 三元及第
mmnm 剑及履及
tmnm 劍及履及
ygyw 順水順風
ygyw 顺水顺风
spfw 吳帶當風
spfw 吴带当风
twkm 四体不勤五谷不分
tskm 四體不勤五穀不分
sfsx 嘴尖皮厚腹中空
bkyh 半部論語治天下
bkhh 半部论语治天下
svxc 貴在知心
svxc 贵在知心
ykln 出头的椽子先烂
yfln 出頭的椽子先爛
dyfj 秋收万颗子
dypj 秋收萬顆子
dnkt 香火不絕
dnkt 香火不絶
dnkk 香火不绝
mcyd 人心齊泰山移
mccd 人心齐泰山移
pmmm 蓬門今始為君開
pmmm 蓬門今始爲君開
pjmf 蓬门今始为君开
jqfn 孤帆远影碧空尽
jqrt 孤帆遠影碧空盡
ptpy 劝君莫惜金缕衣
ptpy 勸君莫惜金縷衣
yxkj 齊魯青未了
chkj 齐鲁青未了
xkfw 千姿万态
xkpq 千姿萬態
gghr 淡泊以明志
fhqs 无可置喙
nhqs 無可置喙
ghrg 水过地皮湿
gsrg 水過地皮溼
gsrg 水過地皮濕
ycdg 反驕破滿
yldg 反骄破满
wmyx 独坐幽篁里
wmyy 獨坐幽篁裏
wmyt 獨坐幽篁裡
ynkg 言简意深
ynkg 言簡意深
ygwg 詩酒風流
hgwg 诗酒风流
lvvc 胸有丘壑
xqds 安能摧眉折腰事权贵
xqds 安能摧眉折腰事權貴
kykr 泰山不讓土壤
kykr 泰山不让土壤
