#空格简
b 现在
htsq 施工員
mkfh 千里之行始于足下
mkfh 千里之行始於足下
lsdn 类名
lsdn 類名
jbfh 福柯
hdgm 挂勾
hdgm 掛勾
djdc 赤坎
xyxn 清池
vjdd 亲临其境
vxdd 親臨其境
fnwj 想个
fnnc 想個
tntv 設障
kntv 设障
nmqr 伊苏
nmqw 伊蘇
lgjf 歇过
lggs 歇過
ltqj 切刀
rmsh 走啦
sxpq 喂猫
sxdj 喂貓
jbbn 官庄
jbqy 官莊
fkhs 棒操
mvck 餅圖
jvck 饼图
hppv 抓鬼
hjxq 拦洪
htxq 攔洪
hdyb 掐表
ybnt 虚度光阴
ybnt 虚度光陰
ybnt 虛度光陰
mqlf 反是
nhpl 偶犯
lmsv 鍵數
wmls 键数
xvrn 海皇
tkpb 降維
tkmb 降维
xbxc 漏液
lrmg 錦盒
wrmg 锦盒
lswi 糖人
mwkw 垂着
mwqh 垂著
pqch 猫砂
djch 貓砂
wyfs 血槽
tqjq 限宽
tqjq 限寬
djtg 增調
djkg 增调
tnvk 附二
qkqx 芙蕖
frrl 亚力山大
frrl 亞力山大
xnvk 沙冰
xlpq 活分
jhsm 豁牙
xsso 溃口
xsso 潰口
nwpb 瞎逛
bfkl 球瘾
bfkl 球癮
cjtg 商調
cjkg 商调
kqjw 良才
vhwh 龍龜
dndp 龙龟
lndd 鉛封
wndd 铅封
hjpg 控申
gmdv 心墙
gmyy 心牆
hdbj 老班
fnkn 一代不如一代
ygll 趾高气昂
ygll 趾高氣昂
vlkg 火星文
qgkq 賭友
hgkq 赌友
hlkw 掩着
hlqh 掩著
xcxp 流溪
svjd 串亲戚
svjd 串親戚
qqgj 双性
bbgj 雙性
kggh 离轨
kgth 離軌
kcti 要言
vjmv 管飯
vjjv 管饭
xylg 清影
bnmc 广顺
bnmc 廣順
dgfd 军列
dtfd 軍列
prgx 馬甸
jrgx 马甸
yxsl 表演唱
dldg 赤卫军
djdt 赤衛軍
blhp 夏耘
rnkw 乐美
rnkw 樂美
kcys 义同
kwys 義同
vjtn 真香
fqsh 开叫
tjsh 開叫
bhgj 尿性
pxto 細工
mxto 细工
bflj 集显
bflx 集顯
shvj 叫真
kflc 夹板气
lflc 夾板氣
nvkj 低头不见抬头见
nfkp 低頭不見抬頭見
yrmf 踢脚线
yrpr 踢腳線
cfdm 杀去
cfdm 殺去
wbqv 自古英雄出少年
npkd 佔為
nppd 佔爲
pfkr 占为
fcso 桥口
fcso 橋口
kfbk 紫斑
xmwp 水魚
xmrp 水鱼
ssrm 叼走
kkqp 永不退縮
kkqm 永不退缩
kjfk 票样
kjfk 票樣
klgp 有錯必糾
kwgm 有错必纠
ytxb 內陸湖
ytxb 内陆湖
ytxb 内陸湖
jnfi 礼拜一
jnfi 禮拜一
twys 通同
hcmc 搜剿
fdvl 酱爆
yyvl 醬爆
jlfl 空楼
jlfs 空樓
ljfk 日行一善
ysqp 冒菜
nhci 侄孙女
nhci 侄孫女
qqhw 叠出
xkhw 疊出
lwtp 夸特
lwmc 歇会儿
lwcm 歇會兒
ychx 麻質
ycmv 麻质
nbrp 凤尾鱼
nbwp 鳳尾魚
tnhh 私拆
snsn 敢做敢当
snsn 敢做敢當
tpjc 特案
qdjw 双声道
bdjw 雙聲道
tnsl 称引
tnsl 稱引
fxgm 画心
mfgm 畫心
pfrp 餐卡
hddw 挂角
hddw 掛角
ndrh 拜山
jsbn 宫庙
jsbn 宮廟
xnrj 沙加
dfci 色女
ysdh 盎斯
fdbh 残屑
fdbh 殘屑
lqvn 錨點
wqpf 锚点
jstj 宫院
jstj 宮院
lqpm 照給
lqmm 照给
tnhx 防化兵
thyc 間接選舉
vhtn 间接选举
xvtj 海闊
xvvj 海阔
pypk 網紋
ysmk 网纹
dvkq 坛友
dckq 壇友
mfsh 群员
mfsq 群員
dnjf 地富
qjhg 对赠
jsqg 對贈
lfwm 歇一会儿
lfwc 歇一會兒
rssk 臊味
vkxp 冰浴
vhpg 端由
twkv 险诈
tmtv 險詐
ljnv 显位
lxnv 顯位
mrjb 來神
fljb 来神
chbk 石斑
ydnh 虎仔
lqxp 暴汗
jlff 关禁
tjff 關禁
mpcy 鳥市
xpcy 鸟市
hvvh 船籍
fkvh 检疫站
fkvh 檢疫站
tqtm 限选
tqyt 限選
ybfq 非刑
fmtd 北陵
fppl 已見分曉
fjpl 已见分晓
dyyh 外刚内柔
dyyh 外剛內柔
dyyh 外剛内柔
jfnw 宇瞻
nvmc 小辫儿
nvcm 小辮兒
thds 車臺
ghms 车台
hhqg 打蔫
pqtj 馬薩諸塞
jqkj 马萨诸塞
fgkp 一心为公
fgkp 一心為公
fgpp 一心爲公
lttj 金閃閃
lvvj 金闪闪
gkjh 怀宁
gcjg 懷寧
hpsy 扮猪吃老虎
htsy 扮豬吃老虎
htsy 扮豬喫老虎
bljl 厌旧
blqb 厭舊
cpxk 六界
nsrw 尖脸
nsrm 尖臉
kbms 雪鞋
qgtd 警誡
qgkd 警诫
slbn 张庄
slqy 張莊
fcdh 桥基
fcdh 橋基
bjbm 三生三世
fxfq 相思树
fxfj 相思樹
xkjw 男裤
xkjw 男褲
sjhx 中岳
sjrh 中嶽
kqqx 野茫茫
chrm 硅脂
pqrq 分腿
ytyt 蛛蛛
pxbh 細眉
mxbh 细眉
kjby 西祠胡同
kjjj 西祠衚衕
nccj 小姐姐
jhrj 穷折腾
jhrj 窮折騰
bhpf 迟点
bhvn 遲點
jvfq 鉴权
lxfq 鑑權
lpdj 銳增
ljdj 鋭增
wjdj 锐增
sjkt 以守为攻
sjkt 以守為攻
sjpt 以守爲攻
mwfk 千术
mwjf 千術
qmxn 荒沙
vqmx 二叠纪
vxpx 二疊紀
gqwf 惜命
tgkl 調遷
kgmw 调迁
dkdn 戈多
glvn 亦算
qjwm 对么
jsyc 對麼
jsyc 對麽
nkyy 風雨同路
nkyy 风雨同路
vhvk 烤瓷
wjbl 人事厅
wjbn 人事廳
nfcy 飛鼠
svcy 飞鼠
dmss 去呀
sdmv 奥斯维辛
sdpv 奧斯維辛
kwvk 差动
kwmw 差動
rfkw 皇天不負有心人
rfkw 皇天不负有心人
cqdm 破財免災
chdj 破财免灾
nstm 保先
kwlc 美气
kwlc 美氣
pyhv 網捕
yshv 网捕
nhhf 小哥哥
xrtl 渔阳
xwtl 漁陽
kwvh 美音
ycnw 魔眼
sydq 吊塔
cphh 围点打援
cvhh 圍點打援
yfqx 穀苗
pwqx 谷苗
ycds 麻吉
ljdn 显名
lxdn 顯名
chls 碎料
rmxt 越江
sxls 喂料
lrhs 明子
blkn 王顧左右而言他
bbkn 王顾左右而言他
xmxy 渗滤
xmxy 滲濾
qvpy 黃網
qpys 黄网
cpcc 六爻
rhth 架子車
rhgh 架子车
nbss 凡品
hmfn 考勤机
hmfx 考勤機
jjtp 寄生物
tjyd 閩劇
vjbh 闽剧
cxpm 舅公
ksqn 身退
hkst 措不及防
sqwi 哄人
tnnp 私佔
tnpf 私占
rljm 留归
rlrm 留歸
hdmf 挂线
hdpr 掛線
gyqn 情花
cxfl 玄天
stmj 书香世家
mtmj 書香世家
kgls 文类
kgls 文類
hdkf 老柴
lxch 太湖石
fdwr 壮锦
yylr 壯錦
xpkw 卧着
xwkw 臥着
xwqh 臥著
bjyw 玉兰片
bqyw 玉蘭片
rnbh 白屏
lsxv 糖汁
hwns 出尖
ykdl 路堤
lylw 銅套
wylw 铜套
xcyq 滴蜡
xcym 滴蠟
vhvq 烤翅
nsjx 小兽
nsss 小獸
jwjb 裸視
jwjb 裸视
lwdu 达士
dkdu 達士
gplw 高爽
vkqq 烟雨蒙蒙
vkxx 煙雨濛濛
lsbn 糖度
ftff 木秀于林
fthf 木秀於林
nskq 小友
ckdn 图名
ckdn 圖名
phfr 猪棚
tkfr 豬棚
fscs 杨絮
flcs 楊絮
tlhj 短按
ffsv 林叶
ffqm 林葉
nlwk 偏失
jmfl 归元
rmfl 歸元
prfl 驗核
prkr 驗覈
jrfl 验核
svfd 喷浆
svyy 噴漿
xgjd 泡成
lbhq 旺发
lbgs 旺發
qfjs 花开富贵
qtjs 花開富貴
rbwf 脏钱
gpld 髒錢
yfrl 置留
xdtn 法科
tpsq 記分員
kpsh 记分员
nbtn 做种
nbtn 做種
csyw 奶片
nrkw 优乐美
nrkw 優樂美
hkmf 拔群
ldtn 錢租
wftn 钱租
npxd 俄狄浦斯
qcnf 菌体
qcgp 菌體
vrtn 协税
vrtn 協稅
vrtn 協税
jfnd 福楼拜
jfnd 福樓拜
ylrd 踢脚
ylrp 踢腳
tnjg 科密
jmns 归省
rmns 歸省
bnwf 度命
nvhr 位势
nvdp 位勢
xsvj 涵管
lslv 米鋪
lswv 米铺
tpto 評工
kpto 评工
rfbn 膈应
rfbn 膈應
gmjd 心盛
kxqn 酥油花
hqrl 发腻
gsrl 發膩
xvcc 海妖
tmrl 选留
ytrl 選留
xkgk 思政
fwfu 榆木
hdbh 挂壁
hdbh 掛壁
djvh 赤龍
djdn 赤龙
kfrj 紫边
kfwk 紫邊
dwfj 角标
dwfk 角標
chrh 礁岩
pdfk 續杯
mvfk 续杯
yfkd 版权页
yfbd 版權頁
pnql 紗幕
mnql 纱幕
lsry 糅杂
lscw 糅雜
lrmr 扁長
lrjr 扁长
lyns 銅雀
wyns 铜雀
ywqb 非我莫属
ywqb 非我莫屬
rnbn 督府
blff 历本
blff 曆本
kghx 文質
kgmv 文质
kqxd 良深
pplt 綠鑽
mmwp 绿钻
cktn 图稿
cktn 圖稿
bnjd 克伦威尔
bnjf 克倫威爾
tklj 牛郎星
xgkq 淘友
fqcc 树妖
fjcc 樹妖
jdnm 威化
qgfq 貼權
hgfq 贴权
qxbh 蒲剧
qxyd 蒲劇
xrrn 染白
gycx 心静如水
gycx 心靜如水
fgxp 椰油
vvlf 简答题
vvlf 簡答題
shyw 叫牌
ckck 裏圈
jwck 裡圈
kvck 里圈
rkpm 勝不驕敗不餒
rkjj 胜不骄败不馁
tjjs 問事
vjjs 问事
fnvb 一传十十传百
fnvb 一傳十十傳百
lrnv 明传
lrnt 明傳
xbds 法属圭亚那
xbds 法屬圭亞那
jnkl 宿疾
wgxm 血性男儿
wgxc 血性男兒
nryj 仙踪
nryj 仙蹤
cpbn 效度
hsmf 子群
hdkl 找病
jvjw 御宅
xpbk 汗斑
hchq 摘发
hcgs 摘發
mvln 餅鐺
jvwn 饼铛
kflr 柴房
qsri 觀月
qjri 观月
tvxy 談清
kvxy 谈清
kbmf 主群
qvcy 黃鼬
qpcy 黄鼬
pxri 平月
hjhd 挖方
lrtw 卫通
jmtw 衛通
xmjg 治具
qbpf 苦經
qbmt 苦经
gnrn 京白
chgp 硬骨
fcjv 校监
fcxv 校監
lcyp 氮素
ndtn 学委
cctn 學委
fnbn 相府
fdfq 棱形
tnfq 稜形
nsrj 光腚
fsbh 副局
qjnm 忍俊
phck 繩圈
msck 绳圈
xrtj 溜門
xrvj 溜门
pgcj 邮商
mwcj 郵商
vhjr 灯前
vgjr 燈前
pptj 綠隊
mmtw 绿队
dnvh 外亲
dnvh 外親
slqy 強莊
slbn 强庄
gmpk 勾縫
gmmk 勾缝
klkl 痹症
klkl 痺症
cckl 妇女病
cckl 婦女病
hjjt 扬长补短
hmjt 揚長補短
qyth 夢繫
ffwp 梦系
wpfq 命犯桃花
vypg 南邮
vymw 南郵
nbpg 凡由
gvvk 斩立决
tvxk 斬立決
mwfd 重檐
mwvd 重簷
vkxk 次男
hdqg 放賬
hdhg 放账
bjch 弄得好
tprq 牛腿
kvxq 不冻港
kvxq 不凍港
xkxp 洋油
dtrj 逸聞趣事
dvrj 逸闻趣事
dmvk 急冲
dmjm 急衝
fqth 刑訴
fqkh 刑诉
xlqp 浇菜
xdqp 澆菜
nwck 瞪圆
nwck 瞪圓
tknv 随堂
tknv 隨堂
syjg 吊具
vkvk 盗运
xcdt 盜運
lsbn 类库
lsbn 類庫
nwyg 瞎跑
pdtl 結課
mdkl 结课
hpnd 授与
hpcn 授與
grpv 怕鬼
mdlj 千军易得
mdlj 千軍易得
xcfj 滚梯
xcfj 滾梯
ypfc 素妆
ypyy 素妝
tdlt 隐式
tplt 隱式
fcxl 校改
nsnk 光储
nsnt 光儲
nswi 傻人
nmtm 儘先
bhtm 尽先
lskg 断离
xykg 斷離
mwsy 垂吊
wfdn 叙写
wfjc 敘寫
cvtg 怒火攻心
fnpq 相分
gkbk 怀玉
gcbk 懷玉
vmlr 动迁户
mknr 動遷戶
mklr 動遷户
ywch 片石
lqfj 針葉樹
wsfq 针叶树
pnhk 父债子还
pnhy 父債子還
gnfd 就歼
gnfd 就殲
jnrp 密保卡
tvto 季節工
tqto 季节工
tgls 陶粒
pcqf 統帶
mcqm 统带
rdmk 卡尔维诺
rfpt 卡爾維諾
sqpd 哈貝馬斯
shjd 哈贝马斯
cwjj 六人行
pvvl 电复
kbkj 電覆
qgds 敗象
hgds 败象
tpnr 特任
hkqr 扶苏
hkqw 扶蘇
jftn 过称
gstn 過稱
rhvl 炭炉
rhvy 炭爐
gpdf 悅色
gjdf 悦色
nqdm 風急
nbdm 风急
ppkx 綿綿不斷
mmkl 绵绵不断
mvpq 食分
twdf 勇冠
cjfc 商校
nqnl 借代
lvri 暗月
qdkd 圣诗
gjtd 聖詩
jvka 临西
xvka 臨西
bfnp 玩兴
bfcy 玩興
lsls 米粮
lsls 米糧
rnwp 白鰱
rnrp 白鲢
nsck 保固
drpx 志留紀
drmx 志留纪
ytfm 导板
jwfm 導板
plyr 純青
mlyr 纯青
nfwg 手机链
nflt 手機鏈
hnpm 捎給
hnmm 捎给
flyf 天罗
flyf 天羅
chth 好軟
chgh 好软
vkrn 二泉
fxkj 框在
dntb 怨誰
dnkb 怨谁
twvn 通年
gjlj 聚星
jwth 首輔
jwgh 首辅
tkjl 科西嘉
gjja 聚生
jfbh 徽剧
jfyd 徽劇
mcrj 巡边
mcwk 巡邊
dkxd 灸法
tpqm 特药
tpqr 特藥
mwdf 重色
nncb 何仙姑
ljtn 时隙
ldtn 時隙
xspq 汤盆
xlpq 湯盆
xylf 幼果
pkkg 分文未取
skhs 蛋子
qlyc 葛麻
xkjf 漂过
xkgs 漂過
jdnb 成凤
jdnb 成鳳
hrjk 抽肥补瘦
hrjk 抽肥補瘦
rpxk 肝胃
nwrd 看人脸色
nwrd 看人臉色
mrfd 長列
jrfd 长列
jvtj 监院
xvtj 監院
twss 除患
rwgj 遙祭
pwgj 遥祭
dbwf 危途
srtw 弦乐队
prtj 絃樂隊
hvbn 拉康
vknn 二伏
gnlr 怀俄明
gnlr 懷俄明
gvhw 勻出
gvhw 匀出
lqfp 錨杆
wqfp 锚杆
vhnf 童便
flnp 武举
flcn 武舉
fkjk 样卷
fkjk 樣卷
lwtn 大秋
hnly 投映
sdpp 吐綠
sdmm 吐绿
wwss 自我吹嘘
wwss 自我吹噓
qgyf 賠還
hgks 赔还
vhwl 新翻
nfxs 例汤
nfxl 例湯
tlxl 話匣
klxl 话匣
nbhw 小广播
nbhw 小廣播
nsfr 小棚
fmwl 北仓
fmwk 北倉
jqvh 肾部
xqvh 腎部
jmkg 前后文
jjkg 前後文
lqxn 銀沙
wqxn 银沙
vjrp 管卡
vkkb 冰雾
vkkb 冰霧
kbbh 雪层
kbbh 雪層
xyfq 幼树
xyfj 幼樹
fpyr 松青
tvvp 識辨
ksvp 识辨
jlmf 送灵
jlkb 送靈
brxn 碧池
ffsl 枪榴弹
ffsl 槍榴彈
lfkc 果条
lfnj 果條
pdpd 見愛
jdpd 见爱
qxsl 苗疆
nwms 鼎革
tnjv 稳实
tnjy 穩實
bjyw 胡牌
ckwl 图释
ckwl 圖釋
tfkh 言之有据
tfkh 言之有據
fxsc 画史
mfsc 畫史
jrbn 前序
pdcn 結欠
mdcn 结欠
fmhf 五哥
lwnv 奇作
ymyv 跳帧
ymyv 跳幀
lfbj 刮胡
lfmt 刮鬍
dvgo 培正
dcxw 增砖添瓦
dcxw 增磚添瓦
dbds 危象
tthc 評功擺好
kthc 评功摆好
kfxh 步测
kfxq 步測
skrg 邪不勝正
skrg 邪不胜正
pfmg 彩盒
hkjk 收卷
dvqh 幸运草
ddqh 幸運草
jlpl 窜犯
jlpl 竄犯
tjwp 閒魚
vjrp 闲鱼
lgwv 歇会
lgwf 歇會
tpgj 評職
kpgj 评职
hkkb 抹零
kwtp 射人先射馬
kwtj 射人先射马
bfpx 集刊
qggy 賠情
hggy 赔情
lvfj 暗标
lvfk 暗標
dbwp 塘魚
dbrp 塘鱼
xcdw 流觞
xcdw 流觴
vnnh 黑仔
sdcs 吐絮
nkpv 眼不見心不煩
nkjv 眼不见心不烦
jgkf 征夫
lrtn 錦秀
wrtn 锦秀
prhf 驪歌
jrhf 骊歌
vjnh 烂仔
vtnh 爛仔
xlkb 巨雷
tjwl 聞悉
vjwl 闻悉
wjwf 人生自古誰無死
wjwf 人生自古谁无死
ykls 蜂糖
cbmr 衣長
cbjr 衣长
lktn 七里香
qqrk 薄荷脑
qqrm 薄荷腦
mhpd 長毛絨
jhmd 长毛绒
sgsm 哼哈
qggp 警亭
tnyt 利导
tnjw 利導
kbmv 雪餅
kbjv 雪饼
vlks 烧身
vdks 燒身
wfns 剑尖
mmns 劍尖
svjh 喷塑
svjh 噴塑
dncn 外欠
bhfs 原子武器
prfs 線槽
mffs 线槽
bmnp 丟份
rwnp 丢份
jqgm 紧忙
xqgm 緊忙
fxfv 远水救不了近火
dxfv 遠水救不了近火
ddld 封严
ddss 封嚴
vknd 冻手
vknd 凍手
qpff 菜梗
lbnh 旺仔
xktn 田租
nwjs 矇事
qdjs 蒙事
mwkj 乡谊
mwtj 鄉誼
lsck 粮囤
lsck 糧囤
pnhc 电化教育
knhc 電化教育
thsl 輪唱
ghsl 轮唱
qnxq 荷泽
qnxy 荷澤
tllc 短气
tllc 短氣
ywkb 面霸
mrkb 麵霸
pftj 練隊
mltw 练队
lnhs 銷子
wnhs 销子
pvkb 电霸
kbkb 電霸
tpto 牧工
qqvy 双敏
bbvy 雙敏
tqtn 限乘
fvqp 梅菜
lqdk 銀盞
wqfd 银盏
mhci 重孙女
mhci 重孫女
gvhj 高等教育出版社
fsfb 殃及无辜
fsvb 殃及無辜
rjvh 勝朝
rjvh 胜朝
qbpf 难卜
qfpf 難卜
tpjw 鴨絨被
tmjw 鸭绒被
xsfr 水曲柳
kflt 紫鑽
kfwp 紫钻
hdvj 教管
wkld 令严
wkss 令嚴
hplg 採景
pflg 采景
lhyt 影子內閣
lhyt 影子内閣
lhyv 影子内阁
fhjw 棉毛裤
fhjw 棉毛褲
qkxq 蘸满
qkxq 蘸滿
hmnn 老來俏
hfnn 老来俏
gpck 豪园
gpck 豪園
ylpr 跨騎
yljr 跨骑
vywr 筒瓦
qnri 花月
hwcq 托媒
twcq 託媒
jfnk 宋儒
qjkw 黃宗羲
qjkw 黄宗羲
hdvh 持筹
hdvd 持籌
fxff 画本
mfff 畫本
svjk 买客
yfjk 買客
qgpq 賦分
hgpq 赋分
lqtn 錯季
wqtn 错季
hplf 援敌
hpcj 援敵
jhtg 字調
jhkg 字调
kjdm 飄去
kjdm 飘去
hhfm 逝者已矣
jcjj 案宗
jlys 窝内
jlys 窩內
jlys 窩内
qttn 艾利和
rjjl 胀鼓鼓
rjjl 脹鼓鼓
xpdn 卧地
xwdn 臥地
wpjt 系牢
thjt 繫牢
xhxk 河田
klfd 痛死
pdjb 愛寶
pdjb 爱宝
mgjs 拿事
rhto 架子工
rlgs 山东快书
rfgm 山東快書
hfbq 把弄
rrns 白月光
xbpg 源由
kfdb 柴堆
fcfb 桥桩
fcfk 橋樁
vkwl 瓷缸
ydyc 虎跃
ydyg 虎躍
tnmf 移灵
tnkb 移靈
dndn 地垄
dnvh 地壟
hrtp 抵牾
tptp 牴牾
jrfc 它山之石
tnfu 香木
vjls 真数
vjsv 真數
chwh 石龜
chdp 石龟
hdhd 挂旗
hdhd 掛旗
jklw 德里达
jkdk 德里達
jqkr 宽让
jqtg 寬讓
tlcn 該欠
klcn 该欠
snks 叽歪
sxks 嘰歪
yhkc 虾条
ybnj 蝦條
xlbf 混球
vkjm 专兼
thjm 專兼
tkqg 議購
kkhg 议购
blkg 厚皮
jppx 审干
jwvh 審幹
fhhf 李哥
jttn 单季稻
sttn 單季稻
xsdg 溃军
xsdt 潰軍
shdn 叫名
hyrj 排架
ncrj 傍边
ncwk 傍邊
kfjv 夹馅
lwmv 夾餡
csfr 絮棉
btbk 百試百靈
bkbm 百试百灵
ksyr 不静
ksyr 不靜
lfbw 果珍
wltg 釉陶
tttq 特种工艺
tttq 特種工藝
jhfs 行者无疆
jhvs 行者無疆
wjgp 伞骨
wwgp 傘骨
fykv 丙酸
mvyc 食糜
mgcv 順心如意
mgcv 顺心如意
bwjj 三人行必有我师
bwjr 三人行必有我師
lxdh 大染坊
yclj 魔星
kshr 不揣
ljkm 严惩不怠
sjkm 嚴懲不怠
vkrj 斗胜
tjrj 鬥勝
hdms 放鞭
snsn 咻咻
xmds 流氓兔
qvlf 黃果
qplf 黄果
tnvd 附載
tnvd 附载
svhq 喷撒
svhq 噴撒
tndn 租借地
vysg 南曲
dnvy 冗繁
bhha 居下
tjjq 积微成著
tjjq 積微成著
tnvk 稳准
tnxb 穩準
jwqx 补苗
jwqx 補苗
slxs 粥汤
slxl 粥湯
ffcl 禁娼
xrdn 泊地
dfvk 致冷
bjns 胡侃
skso 味口
pfcm 貞婦
pfcm 贞妇
smyy 邪毒
pdyd 爬墙虎
pyyd 爬牆虎
rhmk 岩缝
rhpk 巖縫
vcjv 烟馆
vkmv 煙館
vvtl 炎阳
vvtl 炎陽
tykh 委靡不振
rqms 腿勤
rhhd 酆都
mnrr 比学赶帮超
mcrr 比學趕幫超
dmdm 去垢
ljdd 时域
lddd 時域
vynk 龍虎風雲
dynv 龙虎风云
rhrn 岚皋
rhrn 嵐皋
ktlq 春秋大夢
ktlf 春秋大梦
hbfq 握权
hbfq 握權
nrtw 凭险
vktm 憑險
nnfs 代代相承
xftn 淋透
ssdf 品色
ltqj 銑刀
wtqj 铣刀
grkl 高山病
sltt 唱誦
slkt 唱诵
jyyd 室內劇
jybh 室内剧
jyyd 室内劇
vhkw 端盖
vhqd 端蓋
lqnp 暴举
lqcn 暴舉
dgvh 志新
kgph 皮繩
kgms 皮绳
tths 工間操
tvhs 工间操
kvwh 野鵝
kvwh 野鹅
pgtd 申誡
pgkd 申诫
kvtm 有产阶级
kktp 有產階級
kvtp 有産階級
qmss 药书
qrmf 藥書
dbsl 声强
dbsl 聲強
jjkv 半瓶醋
lglc 歇气
lglc 歇氣
nsgu 劣习
nsgg 劣習
bhrl 慰留
fjss 万卷书
qjmf 萬卷書
bwkj 珍存
qgdu 警士
ykmw 路盲
bhbn 局座
cdmf 毀盡
ctbh 毁尽
ctmf 毁盡
fxnq 天涯何处无芳草
fxnq 天涯何處無芳草
hdpr 老驢
hdjr 老驴
hdtl 探試
hdkl 探试
nbdf 几至
xydf 幾至
vnhq 黑招
twmd 险绝
tmpq 險絕
tmpd 險絶
pfky 餐布
prfx 線框
mffx 线框
vfqy 南柯夢
vfff 南柯梦
yhyv 置頂帖
yhyv 置顶帖
vyph 南孚
tjkc 院务
tjhw 院務
dpqn 盐花
xvqn 鹽花
cxgh 乔治敦
cxgh 喬治敦
chss 磁器
dkdf 戒色
hdfk 换样
hdfk 換樣
fvnd 一笑倾城
fvnd 一笑傾城
stjd 以工补农
stjs 以工補農
hxvh 抽水站
lfcs 果奶
ysfx 同求
mqts 反誤
mqks 反误
lslv 精鐵
lsww 精铁
kbyw 主牌
rhxb 山泥
qjvk 蓝冰
qxvk 藍冰
hmvk 挨斗
hmtj 挨鬥
tnyf 移置
tgjv 誠心實意
kgjv 诚心实意
kblq 雪暴
xknw 男佣
xknb 男傭
hhwv 哥老会
hhwf 哥老會
fdbh 桂剧
fdyd 桂劇
ghqp 熟菜
qgtj 財院
hgtj 财院
gfmr 性本能
qbjc 难案
qfjc 難案
xvmv 淡食
fdxc 更名改姓
dgjl 志喜
tdjl 誌喜
nvjk 堂客
qdhf 蒙頂
qdhf 蒙顶
vddw 索解
fpxp 松溪
mslr 台扇
fdlr 檯扇
nttc 常言說得好
nttc 常言説得好
ntkc 常言说得好
vkss 专书
thmf 專書
sbqt 雅克萨
sbqt 雅克薩
vkrm 凑趣
xkrm 湊趣
ltpr 切紙
ltmr 切纸
snsk 敢做敢为
snsk 敢做敢為
snsp 敢做敢爲
bytn 玉蜀黍
jgcb 征衣
bykg 克罗齐
bycj 克羅齊
xldk 匿報
xlhl 匿报
vhkk 乾打雷不下雨
phkk 干打雷不下雨
nnrn 悠悠然
pdls 結籽
mdls 结籽
lqwf 錯會
wqwv 错会
lrvv 大脑炎
lrvv 大腦炎
tjxl 門匾
vjxl 门匾
vvqx 焖鸡
vtpx 燜雞
sktc 以身許國
skkc 以身许国
kpvn 有緣無份
kmfn 有缘无份
mjdj 合家幸福
tjdj 閤家幸福
slcs 弗如
pjkb 綻露
mjkb 绽露
jqfl 寒武
grmb 高山反应
grmb 高山反應
jhkg 割离
jhkg 割離
hqls 发粉
gsls 發粉
dmkm 去雄
lvhv 鐵算盤
wvhv 铁算盘
fdnk 将佐
yynk 將佐
mllj 丑星
kvlj 醜星
gnsn 情侣号
gnsn 情侶號
rhhk 岁收
kfhk 歲收
knkm 此風不可長
knkj 此风不可长
lwkj 夸说
tltp 誇說
tltj 誇説
twcn 除夜
cnsw 妙喻
vlvl 烧焊
vdvl 燒焊
mqlq 返照
dkgm 名不正则言不顺
dkgm 名不正則言不順
njxl 候温
njxc 候溫
kgkl 不慌不乱
kgkp 不慌不亂
cnvi 夜火
lqmf 照录
lqlp 照錄
chff 码本
chff 碼本
ltdg 屯军
ltdt 屯軍
lvsk 大笨蛋
fxcx 五洲四海
pdtj 結關
mdjl 结关
bvjw 尼龍襪
bdjw 尼龙袜
cjpc 商妥
xmms 水鞋
hdpy 拥军爱民
hdpy 擁軍愛民
fgqy 林正英
hqrm 搭脈
hqrk 搭脉
nknj 学有所长
cknm 學有所長
rlfd 胆壮
rdyy 膽壯
hjfs 挖槽
djfv 名实相符
djfv 名實相符
pkff 分身无术
pkvj 分身無術
ckhb 恩遇
djrf 增印
lfnw 甜睡
nvso 堂口
jkfq 宗主权
jkfq 宗主權
bbss 琴书
bbmf 琴書
sfsd 哽噎
kctw 春困秋乏
ykfk 踏雪无痕
ykvk 踏雪無痕
htso 帮口
ddso 幫口
thqg 輕財
ghhg 轻财
nsfx 似画
nsmf 似畫
bjnv 故伎
nsns 尖削
ybsc 悲啼
pkjg 絕不後悔
pkjg 絶不後悔
mkmg 绝不后悔
nfkg 例文
dvqy 培英
stxk 中短波
rcfk 胶棒
rgfk 膠棒
xlwl 匮缺
xlwl 匱缺
xknh 男仔
ytck 导图
jwck 導圖
jtnh 宛轉悠揚
jgnh 宛转悠扬
qhjd 苛待
ggjg 怡情养性
ggjg 怡情養性
mcjb 巡官
ntqh 瞬間即逝
ntrh 瞬間卽逝
nvqh 瞬间即逝
nddg 倒坍
vvnd 音韵学
vvcc 音韻學
hhjb 打禅
hhjb 打禪
fllf 武旦
vqhs 支子
fttp 两院制
fttp 兩院制
bhms 刷鞋
pvvi 电火
kbvi 電火
dwns 角尖
mhgt 鞭打快牛
tpkg 訃文
kpkg 讣文
mctg 儿女私情
cctg 兒女私情
xcgp 流亭
gjkq 聊友
jhnw 逆价
jhnk 逆價
nqjc 供案
mvtw 遁甲
kvkf 灰紫
lrjj 启行
lrjj 啓行
lrjj 啟行
pdss 結單
mdjl 结单
ywrf 面肥
mrrf 麵肥
srbn 貴店
srbn 贵店
hpkv 扒灰
sgbl 遭厄
xvpr 海線
xvmf 海线
sktn 吃不透
